,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Current payments,167741.1753,181822.6906,196357.4977,212015.7028,226696.8794,250547.3944,275636.0043,308166.607,361688.9326,412285.7393,458299.6171,512143.5747,559882.7197,613901.8806,659221.1241,710276.8769,779534.4434,839109.2947,902294.8713,976962.1834,1013072.259,1095133.133,1164198.441,1252251.80
Compensation of employees,93170.42397,100240.6512,109941.1493,119885.283,128384.1849,140201.562,154735.8935,177101.0794,211218.4671,248628.1731,281651.2059,315088.2443,342651.4892,370853.9599,397171.0957,428402.7519,462478.0221,494550.6605,527836.134,565111.6651,574910.4516,603400.8584,622629.1373,647802.60
Goods and services,28157.41995,33887.00333,39452.48147,45817.47982,49367.34854,59375.0324,68648.24191,78074.39279,95846.62952,106174.368,109970.0003,120405.357,128966.0749,141749.1375,147056.3696,152631.5226,170193.0513,181431.784,192022.1773,206584.448,205159.2295,223080.324,232394.9842,247693.90
Interest and rent on land,46413.33135,47695.036,46963.867,46312.94,48945.346,50970.8,52251.86884,52991.13482,54623.836,57483.19818,66678.41092,76649.97338,88265.15566,101298.7832,114993.6588,129242.6024,146863.37,163126.8502,182436.56,205266.0702,233002.5783,268651.951,309174.32,356755.30
Transfers and subsidies,68374.9674,79698.29273,101551.545,121303.114,139347.314,164175.416,194667.5426,234757.558,271831.033,303926.1617,323881.5234,366845.5403,392596.3193,432252.232,465505.0016,507637.5879,543121.5013,570307.9292,625145.7323,682449.334,776437.3191,776807.6167,813832.4291,858342.60
Municipalities,7366.892472,8925.582853,10926.146,14141.287,16870.032,19885.505,29564.86951,38945.34489,49186.028,55878.722,65173.029,72225.294,80948.2717,87556.8825,93145.27219,105018.6116,109375.5878,118344.7478,126287.0324,131725.2915,145596.716,144532.53,160275.785,167527.70
of which: local government share,5536.429,3184.328,4186.813,6350.377,7677.546,16681.721,26501.048,38482.025,45487.31,44737.222,53361.327,59678.073,67160.589,72982.015,77379.783,87679.165,91643.221,99317.532,106019.732,109818.728,123071.097,121007.427,135363.796,142340.90
Departmental agencies and accounts,17535.95296,20014.544,26579.504,30685.796,31529.623,38502.975,46118.6351,53552.19492,63062.066,67997.695,64152.09,83600.75507,82689.6652,87107.4675,94431.1567,100899.1906,108821.8708,113712.1668,128526.3222,145595.4004,145679.6984,159287.4718,169830.4947,183914.80
Higher education institutions,6669.614139,7137.376,7531.016,8430.947,9403.787,9929.703,11092.369,12126.921,14027.012,15547.167,17869.016,19729.136,21268.0295,22632.028,24503.9166,26601.88723,28262.92888,31980.06046,41686.29853,47694.31139,48798.21392,48671.30311,52303.23389,49590.10
Foreign governments and international organisations,478.9302681,335.54,700.885,795.808,680.414,858.819,919.654,935.817,1011.792,1366.698,1234.549,1310.127,1396.757,1934.462,1871.031,1933.533,2205.806,1971.858,2346.447,2467.513,2227.747,2953.361,3253.643,3290.30
Public corporations and private enterprises,5096.258986,7443.295,8814.676,9364.069,12257.663,14382.875,15177.77673,24193.08959,21539.083,24349.321,25623.7643,28340.363,31238.54,35132.013,40382.71969,44215.50867,45635.78979,40823.7342,42367.9856,45154.80575,36047.97913,48355.48642,51676.85028,53219.10
Public corporations,2817.902138,4545.588,5835.957,6030.631,8574.648,10354.385,10792.766,16285.8296,18016.90224,20045.366,21474.8833,22495.339,24111.75,26982.146,32392.487,35706.15271,34049.22544,32640.74398,33540.81652,34441.83139,25575.26575,36793.53812,38502.84724,40313.10
Subsidies on products and production,2334.107583,3358.489,4102.636,3909.759,4669.37,4522.296,4359.505,6554.969374,7080.628922,7564.454,9982.914,9307.007,10859.374,10806.281,11557.869,26129.8201,26741.601,22605.726,23641.015,22759.392,13757.367,21978.49,28627.011,27301.10
Other transfers,483.7945551,1187.099,1733.321,2120.872,3905.278,5832.089,6433.261,9730.86023,10936.27331,12480.912,11491.9693,13188.332,13252.376,16175.865,20834.618,9576.332609,7307.624441,10035.01798,9899.80152,11682.43939,11817.89875,14815.04812,9875.83624,13012.00
Private enterprises,2278.356848,2897.707,2978.719,3333.438,3683.015,4028.49,4385.010727,7907.259988,3522.180765,4303.955,4148.881,5845.024,7126.79,8149.867,7990.232687,8509.355965,11586.56435,8182.990222,8827.169082,10712.97436,10472.71338,11561.9483,13174.00304,12906.00
Subsidies on products and production,2146.556302,2414.562,2623.326,2893.555,3221.422,3671.914,3610.821576,6740.747626,2209.332,2061.28,1412.803,2335.138,4467.558,4782.037,4559.721,4764.26,4917.474,3351.751,3631.041,4832.128,8007.467,9732.388,11407.195,5591.10
Other transfers,131.8005467,483.145,355.393,439.883,461.593,356.576,774.1891507,1166.512362,1312.848765,2242.675,2736.078,3509.886,2659.232,3367.83,3430.511687,3745.095965,6669.090353,4831.239222,5196.128082,5880.846364,2465.246376,1829.560304,1766.808038,7315.00
Non-profit institutions,2297.590769,3130.035639,4062.676,5119.246,5719.806,6924.173,8828.841951,11651.42852,14792.349,16452.952,17695.694,19216.01865,19904.69623,23851.4595,25070.38581,26745.20955,28415.11307,28900.48354,29737.91058,31579.97143,38508.81692,39316.4574,39735.93225,41481.20
