,,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
Taxes on income and profits,,279990516,332058296,383482732,359044847.3,379941232.7,426583730.3,457313835.3,507759154.1,561789780,606820534.5,664526445.8,711703019,738740596.8,772684806.2,718180499,912870032.1,988505254.6,997924091.9
Personal income tax,,140578347,168774352,195115008,205145020.9,226925026.3,250399638.5,275821599.3,309834086.9,352950430.8,388102384.9,424545240.9,460952841.5,492082903.7,527632509.1,487011071.5,553951487.6,600366808.5,649782597.8
Tax on corporate income,,,,,,,,,,,,,,,,,,,
Corporate income tax,,118998582,140119831,165378278,134883419.6,132901680,151626675.8,159259227.9,177324273,184925392.1,191151643.1,204431762.6,217412046.2,212046051.5,211522203.2,202123447.5,320446870.8,344659912.8,301367415.5
Secondary tax on companies/dividend withholding tax,,15291351,20585421,20017580,15467795.18,17178189.12,21965408.63,19738708.88,17308789.91,21247289.13,23934233.26,31129891.68,27894314.76,29898035.19,27929888.16,24845362.05,33429471.88,38118709.25,39704749.46
Interest withholding tax,,0,0,0,0,0,0,0,0,0,218540.4467,445769.7056,665249.5923,625055.4474,596498.0631,490304.6376,468751.8538,725924.7414,1079188.169
Tax on retirement funds,,3190529,285357,143251,42699.21026,2772.10119,6665.25483,159.437,0,0,0,0,0,0,0,0,-213,0,0
Other,,,,,,,,,,,,,,,,,,,
Interest on overdue income tax,,1931050,2280507,2776988,3433024.65,2904484.81,2585011.866,2493542.649,3290754.507,2663840.494,3410973.649,3974355.851,4776801.143,4088201.829,5003686.986,3710241.78,4573663.288,4633907.463,5990141.035
Small business tax amnesty,,657,12828,51627,72887.73302,29080.36128,330.28215,597.14459,1249.83776,2827.44111,2759.2059,-575,1765.87756,349.16699,20.7324,71.559,0,-8,0
